Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minute
Sunday,18-30,Male,Junior high school,5-10yr,Public (13?45 seats),Governmental,Above 10yr,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,12,50
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,1-2yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Serious Injury,12,50
Friday,18-30,Male,High school,Above 10yr,Other,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,na,na,na,na,Not a Pedestrian,Driving at high speed,Serious Injury,18,40
Friday,18-30,Male,Elementary school,5-10yr,Pick up upto 10Q,Owner,Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,18,40
Wednesday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Waiting to go,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Fatal injury,11,15
Wednesday,18-30,Male,Writing & reading,2-5yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Fatal injury,11,15
Tuesday,Over 51,Male,Junior high school,2-5yr,Automobile,Governmental,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,7,50
Tuesday,18-30,Male,High school,2-5yr,Lorry (41?100Q),Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,7,50
Tuesday,18-30,Male,Junior high school,1-2yr,,Owner,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,7,50
Tuesday,18-30,Male,High school,5-10yr,Other,Owner,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,16,30
Tuesday,31-50,Female,Elementary school,2-5yr,Automobile,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,16,30
Monday,Under 18,Male,Junior high school,1-2yr,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Serious Injury,18,0
Monday,Unknown,Male,Elementary school,1-2yr,Automobile,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,18,0
Tuesday,18-30,Male,High school,No Licence,Automobile,Owner,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,18,15
Tuesday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Female,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,18,15
Tuesday,31-50,Male,Junior high school,1-2yr,Other,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overturning,Serious Injury,18,15
Sunday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,Above 10yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,15,15
Sunday,31-50,Male,Junior high school,5-10yr,Stationwagen,Owner,Above 10yr,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15,15
Sunday,31-50,Male,,,Other,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,15,15
Tuesday,18-30,Male,,,Pick up upto 10Q,,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Getting off,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,10,15
Monday,31-50,Male,Junior high school,2-5yr,Stationwagen,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,19,25
Friday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,14,0
Friday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Moving Backward,Slight Injury,14,0
Friday,31-50,Male,,,,Owner,Above 10yr, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,14,0
Sunday,Under 18,Male,Elementary school,Above 10yr,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,8,30
Monday,Unknown,Male,Junior high school,Above 10yr,Automobile,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,22,5
Monday,18-30,Male,Elementary school,2-5yr,Turbo,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,22,5
Friday,18-30,Male,Junior high school,5-10yr,,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,2,Going straight,Pedestrian,Female,Under 18,2,Crossing from driver's nearside,No priority to vehicle,Slight Injury,15,30
Friday,Over 51,Male,Junior high school,Below 1yr,Stationwagen,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15,30
Friday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr, Church areas,Undivided Two way,Sharp reverse curve,No junction,Asphalt roads,Wet or damp,Daylight,Raining,,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15,30
Sunday,31-50,Male,High school,Above 10yr,Automobile,Owner,Above 10yr,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Reversing,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,21,15
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,5-10yrs,Other,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Daylight,Raining,,2,3,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Changing lane to the left,Slight Injury,21,15
Sunday,18-30,Male,Elementary school,1-2yr,Pick up upto 10Q,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,4,1,Turnover,Pedestrian,Female,5,3,Not a Pedestrian,Changing lane to the right,Slight Injury,21,15
Sunday,18-30,Male,Junior high school,,Lorry (41?100Q),Owner,5-10yrs, Church areas,Unknown,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,,4,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,21,15
Monday,18-30,Male,Above high school,1-2yr,Lorry (41?100Q),Owner,1-2yr,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,35
Monday,31-50,Male,Junior high school,Above 10yr,Automobile,,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,16,35
Monday,Over 51,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,4,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,16,35
Friday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,4,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,15,30
Friday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Female,5,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15,30
Saturday,Over 51,Male,,,Lorry (41?100Q),Governmental,1-2yr,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Turnover,Driver or rider,Male,Over 51,2,Not a Pedestrian,Changing lane to the left,Slight Injury,14,45
Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,Governmental,Above 10yr,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,19,30
Wednesday,Over 51,Male,Junior high school,2-5yr,Automobile,Organization,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,19,30
Friday,Over 51,Male,Junior high school,Above 10yr,Automobile,Organization,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Female,18-30,2,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,16,0
Monday,18-30,Male,Junior high school,1-2yr,Public (13?45 seats),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,3,2,Going straight,Pedestrian,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,17,50
Monday,18-30,Male,Above high school,1-2yr,Automobile,Governmental,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Serious Injury,17,50
Tuesday,31-50,Male,Above high school,No Licence,Public (13?45 seats),Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Getting off,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,9,5
Tuesday,Over 51,Male,Junior high school,1-2yr,Public (13?45 seats),Owner,2-5yrs, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,9,5
Thursday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,1-2yr,,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,10,40
Thursday,Over 51,Male,Junior high school,Above 10yr,Lorry (11?40Q),Owner,Above 10yr,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,10,40
Thursday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,21,15
Thursday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,21,15
Friday,Under 18,Male,Elementary school,2-5yr,Other,Owner,, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16,0
Friday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,Governmental,1-2yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,3,Crossing from driver's nearside,No priority to vehicle,Slight Injury,16,0
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (11?40Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,16,0
Saturday,18-30,Male,Junior high school,2-5yr,Motorcycle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,19,30
